,xpos,ypos,zpos,xvel,yvel,zvel,xacc,yacc,zacc,label
0,-0.13244104713455515,1.818894263604526,1.1265241979817646,-0.03433976480763785,-0.008130732288753446,-0.254972262207461,-0.06218828176034466,-0.022161658578128976,-0.12776196556263708,0
1,-0.14439180534746907,1.793556694519982,1.118971495823515,-0.0225898136316876,-0.03876332934208525,-0.21577374416972614,-0.1309122902729238,-0.09432156759657018,-0.1564616097913434,0
2,-0.3097304845430765,1.736425385587247,1.0586655487164407,0.00805284486766569,-0.014170598404212711,-0.24159624227547052,-0.18732915844989895,-0.0941745755725529,-0.3040987818967551,0
3,-0.31211987137794495,1.7853163536980834,1.0983578104825649,-0.01638438034761736,-0.023224400561098216,-0.17697208303354353,-0.14765972430961063,-0.08654132904996584,-0.15200086096608703,0
4,-0.23167724639941484,1.7371908853573559,1.0366487662189046,-0.03365750753511793,0.01592972164209457,-0.18213665690750647,-0.022552841247465354,0.011463301680170198,0.1364430189371491,0
5,-0.23744259843992632,1.7081401291067995,1.0349527826459977,-0.017716076632495945,0.004341249503086977,-0.2264315333531433,-0.04149914926207666,0.02199493633680651,-0.052146314803056065,0
6,-0.21917889619039166,1.7286637804917322,1.0304609466882257,-0.03770162062493101,0.018864237716317993,-0.29998833710689926,-0.053153934712301835,0.009100839052633881,-0.06506965944491741,0
7,-0.20226706390257004,1.631597538849316,1.1078726405200305,-0.015359696629759579,-0.01564962995335364,-0.28801887389877207,0.195859033547874,0.012978300009249369,-0.15578184589931088,0
8,-0.2598004894981901,1.767827440983137,0.8691811121749886,-0.060946007919811966,0.02347823849553803,-0.25298279305325305,-0.1398720738515875,0.024512989525066062,-0.2160882710686784,0
9,-0.2136572510758533,1.6524715817504265,1.1117092507312947,-0.003783565990131682,0.03006685873540706,-0.15429809072520584,0.005134684213472495,0.05881561176214792,0.14381984145309823,0
10,-0.24401667350676,1.7411218570609854,0.9268179587265052,-0.030232441219751063,-0.014728981734639627,-0.36367385099619265,-0.031030190599622295,-0.020121846910248077,-0.24406920062525697,0
11,-0.11827424329498572,1.679054301391192,1.1555381986566429,-0.016689226923820848,-0.017139563318859356,-0.16473147324286402,0.01347426622847303,-0.05042992503020084,0.17247661336118147,0
12,-0.20035481300109473,1.7029428081832771,1.0830010285826375,-0.038731706030189224,-0.004671108276129543,-0.26190199851034546,-0.00448575278576941,-0.036453432158734186,-0.0359948343024231,0
