,xpos,ypos,zpos,xvel,yvel,zvel,xacc,yacc,zacc,label
0,0.0019396976423946733,0.008718680070127674,0.13498002547585336,0.010189866212810246,0.0074125114857277515,0.1223425977581789,0.010610192248994652,0.014235741974384715,0.06530786048336393,0
1,0.002275784412665263,0.010266737150847447,0.08163802355695893,0.04472505623962084,0.012690992857618951,0.232494332638842,0.0425902697295255,0.03910582058605118,0.18965506529975737,0
2,0.0058039042931976575,0.017487710445170425,0.13859050548023488,0.11052180677595465,0.009267684550389349,0.28204016770380425,0.07122707623918874,0.03977111199789716,0.18987909325180008,0
3,0.003112268025804306,0.008100757543615295,0.09597885555823124,0.042904302185757325,0.005863364704687559,0.1100718561506951,0.03974655360938483,0.02181998330838252,0.07289028096955527,0
4,0.0008651364816503267,0.005118759831769757,0.07371957812995668,0.0035040142194664925,0.016209027127401535,0.1862311127934615,0.003395140203943163,0.02227000228491845,0.21842799635488847,0
5,0.0007063219395299692,0.0020712726630144874,0.07047470074180247,0.0037822359594945018,0.004604613231501694,0.0809028484781545,0.005671174990075179,0.006576986649024663,0.06825737180475436,0
6,0.001271280282910593,0.0025583691383978865,0.10374245304364225,0.007445534309289941,0.008635893572531706,0.09474296835890605,0.009329300038831484,0.013622924471590395,0.10748263752936114,0
7,0.0023933012248295747,0.006667633279252125,0.07519138808186675,0.048364781798165335,0.007662618153088919,0.08587312470453495,0.09762738275537003,0.02161420430222378,0.07552962276645421,0
8,0.0020568365474993027,0.006845277326668532,0.10978634721581791,0.02885282343825045,0.005551304737677489,0.22361495398935607,0.06811708142461859,0.0038803277792878927,0.2911422462031483,0
9,0.0010259940910465053,0.0009615826502534441,0.038077978286839474,0.006684965737901822,0.009749055814792601,0.0657552641906492,0.007133978837274752,0.018220910450437493,0.024879554172132518,0
10,0.00242068498833189,0.006757049259944345,0.1714016944319624,0.01232269563329865,0.004573356504724648,0.2760635581260952,0.0113365440374473,0.002983206999762491,0.2080338498373601,0
11,0.0016410004504821402,0.0035028233000888313,0.12681442130531065,0.0037037852292434096,0.009744817201315212,0.05952962718298749,0.006194542933762172,0.025584050611766093,0.08094549998384998,0
