timestamp,xpos,ypos,zpos,xvel,yvel,zvel,xacc,yacc,zacc
1715947197.006144,-0.15630005300045013,1.582564818856269,1.6921843144388822,-0.02562667801976204,0.2636954188346863,0.01840771734714508,0.0,0.0,0.0
1715947197.059861,-0.15609745681285858,1.5946931690707344,1.6948259185979173,0.003889312967658043,0.1988152712583542,0.10347911715507507,0.007483612280339003,-0.06387647241353989,0.00046640168875455856
1715947197.118587,-0.15328767895698547,1.606414282640675,1.7131359673781439,0.028258316218852997,0.15309923887252808,0.24072924256324768,0.015878401696681976,-0.1278304010629654,0.011532596312463284
1715947197.173283,-0.15662448108196259,1.6083520288219957,1.7204888695717542,1.8363818526268005e-05,0.0835161805152893,0.20561276376247406,0.02406539022922516,-0.27945730090141296,-0.006489680148661137
1715947197.220509,-0.15216030180454254,1.6101571125128367,1.7176761351210432,0.022521212697029114,0.0559057742357254,0.1413429081439972,0.033686716109514236,-0.32056984305381775,-0.02766980603337288
1715947197.27592,-0.14805251359939575,1.6138820041259272,1.7204230675756826,0.03531074523925781,0.039067115634679794,0.12387789040803909,0.038700465112924576,-0.3226679861545563,-0.03480954468250275
1715947197.330393,-0.13889704644680023,1.6152873368042342,1.7269699265573835,0.06194782257080078,0.008755129761993885,0.12113111466169357,0.055853649973869324,-0.36221811175346375,-0.038518741726875305
1715947197.385162,-0.1334228813648224,1.6178140080080308,1.7403975072140248,0.07097189873456955,-0.013622758910059929,0.14018690586090088,0.060025546699762344,-0.3618927299976349,-0.023228485137224197
1715947197.440761,-0.12076103687286377,1.6211893520681637,1.7597807858693795,0.09821350127458572,-0.033214353024959564,0.17212161421775818,0.0793197900056839,-0.35567691922187805,0.004615196958184242
1715947197.495115,-0.11003050953149796,1.6217762595362493,1.7595125285372004,0.11592429876327515,-0.04219792038202286,0.1479189097881317,0.09074628353118896,-0.33738088607788086,-0.01601608656346798
1715947197.54918,-0.09826832264661789,1.6214568388133657,1.7400589885714677,0.13350670039653778,-0.035267677158117294,0.08131377398967743,0.10183723270893097,-0.2945369780063629,-0.07667194306850433
